num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,enumeration_time,typegen_time,solver_time,processing_time,total_time,program_gen_time,result
2,3.0,1.0,4,2,340,82,6705,128,10786,85,Unsat
3,3.6666667,0.22222221,4,3,340,82,9353,133,13595,89,Unsat
1,4.0,0.0,4,4,340,82,0,95,658,87,Sat
1,3.0,0.0,3,3,257,35,6647,154,10590,39,Unsat
2,2.5,0.25,3,2,257,35,3560,156,7468,38,Unsat
4,3.0,0.0,3,3,257,35,4205,142,8169,39,Unsat
1,2.0,0.0,2,2,257,35,0,88,647,41,Sat
3,1.3333334,0.22222221,2,1,214,38,2522,126,6460,42,Unsat
2,2.0,0.0,2,2,184,228,4218,132,8213,231,Unsat
6,2.8333333,0.13888888,3,2,151,14,2815,2063236,2069798,16,Unsat
1,2.0,0.0,2,2,151,14,6211,272,15827,34,Unsat
1,3.0,0.0,3,3,151,14,0,212,1541,19,Sat
2,2.0,0.0,2,2,299,95,10967,251,20818,101,Unsat
